Vaakuna,Kunta-nro[4],Kunnan nimi,Nimitys,Kielet,Kuntakeskus,Maakunta,Seutukunta,Väkiluku[5],Kok.pinta-ala (km²)[6],Maapinta-ala (km²)[6],Väestötiheys(as./km²)
,020,Akaa,kaupunki,suomi,Toijalan keskustaajama,Pirkanmaa,Etelä-Pirkanmaan seutukunta,16 470,"314,38","293,26","56,2"
,005,Alajärvi,kaupunki,suomi,Alajärven keskustaajama,Etelä-Pohjanmaa,Järviseudun seutukunta,9 322,"1 056,75","1 008,85","9,2"
,009,Alavieska,kunta,suomi,Alavieskan kirkonkylä,Pohjois-Pohjanmaa,Ylivieskan seutukunta,2 497,"253,02","251,50","9,9"
,010,Alavus,kaupunki,suomi,Alavuden keskustaajama,Etelä-Pohjanmaa,Kuusiokuntien seutukunta,11 208,"1 151,50","1 087,24","10,3"
,016,Asikkala,kunta,suomi,Vääksy,Päijät-Häme,Lahden seutukunta,8 060,"755,55","563,34","14,3"
,018,Askola,kunta,suomi,Askolan kirkonkylä,Uusimaa,Porvoon seutukunta,4 881,"218,03","212,44",23
,019,Aura,kunta,suomi,Auran asemanseutu,Varsinais-Suomi,Loimaan seutukunta,4 005,"95,58","95,01","42,2"
,035,Brändö,kunta,ruotsi,Åva,Ahvenanmaa,Ålands skärgård,454,"108,44","108,17","4,2"
,043,Eckerö,kunta,ruotsi,Överby,Ahvenanmaa,Ålands landsbygd,939,"109,18","107,72","8,7"
,046,Enonkoski,kunta,suomi,Enonkosken kirkonkylä,Etelä-Savo,Savonlinnan seutukunta,1 367,"419,20","305,55","4,5"
,047,Enontekiö,kunta,"suomi, pohjoissaame",Hetta,Lappi,Tunturi-Lapin seutukunta,1 800,"8 391,31","7 952,59","0,2"
,049,Espoo,kaupunki,"suomi, ruotsi",Espoon keskus[7],Uusimaa,Helsingin seutukunta,295 538,"330,23","312,33","946,2"
,050,Eura,kunta,suomi,Euran keskustaajama,Satakunta,Rauman seutukunta,11 434,"630,20","578,81","19,8"
,051,Eurajoki,kunta,suomi,Eurajoen kirkonkylä,Satakunta,Rauman seutukunta,9 348,"520,91","514,80","18,2"
,052,Evijärvi,kunta,suomi,Evijärven kirkonkylä,Etelä-Pohjanmaa,Järviseudun seutukunta,2 407,"390,71","354,16","6,8"
,060,Finström,kunta,ruotsi,Godby,Ahvenanmaa,Ålands landsbygd,2 637,"130,19","123,32","21,4"
,061,Forssa,kaupunki,suomi,Forssan keskustaajama,Kanta-Häme,Forssan seutukunta,16 616,"253,36","248,76","66,8"
,062,Föglö,kunta,ruotsi,Degerby,Ahvenanmaa,Ålands skärgård,512,"135,01","134,76","3,8"
,065,Geta,kunta,ruotsi,Vestergeta,Ahvenanmaa,Ålands landsbygd,510,"87,47","84,55",6
,069,Haapajärvi,kaupunki,suomi,Haapajärven keskustaajama,Pohjois-Pohjanmaa,Nivala–Haapajärven seutukunta,6 855,"789,31","766,38","8,9"
,071,Haapavesi,kaupunki,suomi,Haapaveden keskustaajama,Pohjois-Pohjanmaa,Haapaveden-Siikalatvan seutukunta,6 641,"1 086,41","1 050,41","6,3"
,072,Hailuoto,kunta,suomi,Hailuodon kirkonkylä,Pohjois-Pohjanmaa,Oulun seutukunta,954,"207,35","205,66","4,6"
,074,Halsua,kunta,suomi,Halsuan kirkonkylä,Keski-Pohjanmaa,Kaustisen seutukunta,1 094,"428,34","413,02","2,6"
,075,Hamina,kaupunki,suomi,Haminan keskustaajama,Kymenlaakso,Kotka–Haminan seutukunta,19 720,"633,57","609,80","32,3"
,076,Hammarland,kunta,ruotsi,Kattby,Ahvenanmaa,Ålands landsbygd,103,"140,29","138,55","0,7"
,077,Hankasalmi,kunta,suomi,Hankasalmen kirkonkylä,Keski-Suomi,Jyväskylän seutukunta,4 731,"687,74","571,69","8,3"
,078,Hanko,kaupunki,"suomi, ruotsi",Hangon keskustaajama,Uusimaa,Raaseporin seutukunta,8 037,"118,99","117,46","68,4"
,079,Harjavalta,kaupunki,suomi,Harjavallan keskustaajama[8],Satakunta,Porin seutukunta,6 811,"127,74","123,46","55,2"
,081,Hartola,kunta,suomi,Hartolan kirkonkylä,Päijät-Häme,Lahden seutukunta,2 626,"675,40","542,73","4,8"
,082,Hattula,kunta,suomi,Parola,Kanta-Häme,Hämeenlinnan seutukunta,9 396,"427,39","357,79","26,3"
,086,Hausjärvi,kunta,suomi,Oitti,Kanta-Häme,Riihimäen seutukunta,8 152,"398,77","389,42","20,9"
